amount,velocity,device_change,location_change,transaction_frequency,merchant_category,fraud
7039.02,3,0,0,4,GROCERY,0
45151.82,1,1,0,1,SHOPPING,1
19751.19,3,0,0,5,FOOD,0
13694.14,2,1,1,5,CRYPTO,1
2544.37,2,1,0,4,GROCERY,0
2543.94,1,0,0,1,SHOPPING,0
897.58,4,0,0,4,OTHER,0
30168.46,5,0,0,4,SHOPPING,0
13786.23,2,0,0,5,GROCERY,0
18468.75,3,0,0,5,FOOD,0
311.99,6,0,0,6,TRAVEL,1
52553.36,2,0,0,3,GROCERY,0
26796.44,3,0,0,8,OTHER,0
3580.31,3,0,0,5,TRAVEL,0
3010.18,1,0,0,5,ELECTRONICS,0
3039.17,2,0,0,3,SHOPPING,0
5441.31,5,0,0,3,OTHER,0
11158.92,1,1,0,4,TRAVEL,1
8483.06,3,0,0,3,ELECTRONICS,0
5163.34,3,0,0,2,CRYPTO,0
14195.56,3,0,0,3,CRYPTO,0
2253.52,2,0,0,6,GROCERY,0
5182.73,2,0,0,4,FOOD,0
6844.16,2,0,0,5,FOOD,0
9134.02,1,1,0,8,GROCERY,0
23069.04,1,0,0,2,CRYPTO,0
3341.04,1,0,0,8,FOOD,0
10830.44,1,0,0,6,FOOD,0
13462.57,2,0,0,7,GROCERY,0
713.46,3,0,1,3,OTHER,0
14030.0,1,0,0,1,GAMING,0
2804.42,3,1,0,7,TRAVEL,0
1008.96,1,0,0,3,GAMING,0
44605.32,1,0,0,3,GAMING,0
50559.46,6,0,0,2,ELECTRONICS,0
24784.97,4,0,0,4,GROCERY,0
5449.32,2,0,0,3,ELECTRONICS,0
1541.66,4,0,0,2,TRAVEL,0
17291.26,4,1,0,6,ELECTRONICS,0
8701.36,1,0,0,4,SHOPPING,0
1952.28,3,0,0,2,OTHER,0
10253.21,3,1,0,2,TRAVEL,0
524.91,6,0,0,7,TRAVEL,0
36006.34,1,0,0,3,CRYPTO,0
4491.87,4,0,0,7,SHOPPING,0
16293.84,2,0,1,3,FOOD,0
5603.2,2,0,0,3,SHOPPING,0
11011.66,2,0,0,1,TRAVEL,0
